mf,order,rmse_mean,mae_mean,r2_mean,ndei_mean,rmse_std,mae_std,r2_std,ndei_std,n_rules,active_rules,dead_rules,effective_rules,firing_entropy,mean_max_activation,n_params,seconds,rmse_reduction_vs_linear,rmse_reduction_vs_mlp,pvalue_vs_linear,pvalue_vs_mlp,significant_vs_linear_bh
gaussian,1,0.0046110724054594,0.0032268491141043,0.999560657920405,0.0205934658946104,0.0007929845807649,0.000410121986581,0.0001668490388665,0.0039052838619652,64,64.0,0.0,53.94064173644021,3.987718725204468,0.8412207007408142,832,2.6164324283599854,0.9521598281831406,0.0689196773852394,4.2117446132920003e-07,0.3278352067258557,True
gaussian,0,0.019762218108041,0.0146499256740912,0.9921851856396144,0.0880699713774012,0.001441392992936,0.0013181106681006,0.0013342089425501,0.0076481698444433,128,125.0,3.0,90.53696527999736,4.505230236053467,0.8179243803024292,1152,12.218478441238403,0.79496572019742,-2.990441006702132,1.6799973260123818e-07,0.9999910508595824,True
gaussian,1,0.0082374223515139,0.0047972771083615,0.9986486116732518,0.0366557868219525,0.0006557530966859,0.0004959552033462,0.0001999534656386,0.0027823765402658,128,124.6,3.4,91.36613562016572,4.514435577392578,0.8610798358917237,1664,6.388325452804565,0.914536215011962,-0.6633227991563855,2.897153587646816e-07,0.9926297131240532,True
gaussian,0,0.0232452914371093,0.0174271383558568,0.9892511052188412,0.1033946185535335,0.0019727339053587,0.0014922426142959,0.0016064266581362,0.0076451053183091,256,215.0,41.0,136.03532028232067,4.911567687988281,0.8732287764549256,2304,14.081446170806885,0.7588286111127617,-3.69375267777458,6.650083011365725e-07,0.9999128929185176,True
gaussian,1,0.0248854324327333,0.0114147848854524,0.987035950902099,0.1099624315504024,0.0070592913383314,0.0018004517339559,0.0062374836893442,0.0295349410939675,256,215.8,40.2,134.32589205085054,4.898844909667969,0.8830792546272278,3328,23.70035004615784,0.7418120431357278,-4.024934423160142,2.064105490222697e-05,0.99801015275758,True
gbell,0,0.0678705861631766,0.0536704456031287,0.9084401916247908,0.3006682724944364,0.0098789055534283,0.0073716248266852,0.0201314226851639,0.0340352507030657,4,4.0,0.0,3.4177042263919795,1.22104172706604,0.8810880064964295,52,1.1389257907867432,0.2958383174567003,-12.704613960527556,0.002139874835499,0.9998758287143223,True
gbell,1,0.0155705064882203,0.0122806402231272,0.9951304333302508,0.0694856406314167,0.0008625245294908,0.000866069714575,0.0009282462229294,0.0064274735153852,4,4.0,0.0,3.511172138607006,1.255357027053833,0.9173765659332276,68,1.1920053958892822,0.8384549969785696,-2.1440391582579825,1.8355457514274601e-07,0.9999451968119042,True
gbell,0,0.0317778865720047,0.0255766305086437,0.9800112090616184,0.1413106809477834,0.0017355160964369,0.0016613162457408,0.0012513453113627,0.0044813377974959,8,8.0,0.0,7.311574222799538,1.9885860204696653,0.7944276809692383,104,1.2289748191833496,0.6703023895739741,-5.4166775708066845,1.2410658546137106e-06,0.999985420571294,True
gbell,1,0.0061957260492263,0.0048468705863193,0.9992364163987024,0.0275959939971457,0.0002376585089402,0.0001208786852229,7.847883161608164e-05,0.0014299358750958,8,8.0,0.0,7.198477913694456,1.97379367351532,0.8435384154319763,136,1.4389193058013916,0.9357189450388508,-0.2510579105017312,1.772603745938358e-07,0.9608595821848442,True
gbell,0,0.022257430292278,0.0176557900580068,0.9899316117999586,0.0994027250884775,0.0023990099945308,0.0019201379438984,0.002864647252331,0.0136925689710138,16,16.0,0.0,14.132709892262003,2.648276948928833,0.7631797313690185,208,1.5486102104187012,0.7690777338209573,-3.494281059775454,8.589375441363796e-07,0.9998600632007576,True
